drafted,used_weeks,adp,advancing,player_name,position,sleeper_id,team,avg_used_weeks,advance_rate
1144,620,207.3,106,Kylen Granson,TE,7602,IND,0.54,0.093
2,0,212.5,1,Quintez Cephus,WR,6895,LAR,0.0,0.5
1,0,194.0,0,Andy Isabella,WR,5915,,0.0,0.0
1,0,187.0,0,Tajae Sharpe,WR,3297,,0.0,0.0
55,0,207.1,10,Daurice Fountain,WR,5102,,0.0,0.182
2,0,200.5,0,Brady Russell,TE,11280,SEA,0.0,0.0
103,106,209.0,11,Jalen Coker,WR,11646,CAR,1.03,0.107
85,0,209.7,7,Jerick McKinnon,RB,2161,,0.0,0.082
44161,62558,198.7,6831,Tyler Boyd,WR,3225,TEN,1.42,0.155
1,0,71.0,0,Demarkcus Bowman,RB,not_a_player,,0.0,0.0
228,161,208.8,37,Lucas Krull,TE,8249,DEN,0.71,0.162
56055,79261,159.3,9127,Adam Thielen,WR,1689,CAR,1.41,0.163
4,0,209.5,0,Zack Kuntz,TE,9483,NYJ,0.0,0.0
1,0,138.0,0,Tejhaun Palmer,WR,11802,ARI,0.0,0.0
1,1,210.0,0,Bryce Ford-Wheaton,WR,9499,NYG,1.0,0.0
1,0,200.0,0,Lawrence Keys,WR,12001,,0.0,0.0
6156,8521,201.5,993,Tim Patrick,WR,4351,DET,1.38,0.161
2,0,209.0,0,Elijah Dotson,RB,11114,,0.0,0.0
40735,77479,197.1,7407,Derek Carr,QB,2028,NO,1.9,0.182
15419,17323,205.9,2373,Dawson Knox,TE,5906,BUF,1.12,0.154
48431,13816,193.4,6563,Bryce Young,QB,9228,CAR,0.29,0.136
37,11,205.8,8,Adam Trautman,TE,6869,DEN,0.3,0.216
1,1,215.0,0,Hunter Luepke,RB,11510,DAL,1.0,0.0
1,0,209.0,0,Johnny Football,QB,not_a_player,,0.0,0.0
2,0,213.0,0,Dayton Wade,WR,11964,BAL,0.0,0.0
56056,238253,100.0,8983,Zack Moss,RB,6845,CIN,4.25,0.16
54772,37503,178.7,7709,Ben Sinnott,TE,11596,WAS,0.68,0.141
3,0,182.0,0,James Robinson,RB,6955,,0.0,0.0
16,30,204.4,1,Austin Hooper,TE,3202,NE,1.88,0.062
82,110,207.4,14,Sean Tucker,RB,9506,TB,1.34,0.171
1,0,184.0,0,Tony Romo,QB,142,,0.0,0.0
1,0,176.0,0,Derek Parish,TE,11038,,0.0,0.0
1,0,134.0,0,Javon McKinley,WR,7890,,0.0,0.0
56056,261760,99.2,9869,Tony Pollard,RB,5967,TEN,4.67,0.176
82,92,208.5,9,Mason Tipton,WR,11895,NO,1.12,0.11
1,0,207.0,0,Frank Gore,RB,232,,0.0,0.0
1899,6382,206.0,411,Alec Pierce,WR,8142,IND,3.36,0.216
1,0,215.0,0,McCallan Castles,TE,12070,LAC,0.0,0.0
298,519,207.0,39,Joe Flacco,QB,19,IND,1.74,0.131
56056,382971,26.9,17562,Kyren Williams,RB,8150,LAR,6.83,0.313
13,0,206.3,1,Leonard Fournette,RB,3969,,0.0,0.077
1,1,211.0,0,Hunter Long,TE,7535,LAR,1.0,0.0
56056,0,93.4,4783,Jonathon Brooks,RB,11583,CAR,0.0,0.085
7272,0,204.1,813,Deneric Prince,RB,10870,MIA,0.0,0.112
39960,84934,188.1,5589,Greg Dortch,WR,5970,ARI,2.13,0.14
22,0,210.1,2,Tanner McLachlan,TE,11598,CIN,0.0,0.091
34,3,208.1,2,Laviska Shenault Jr.,WR,6814,SEA,0.09,0.059
9,0,206.6,3,Marcus Rosemy-Jacksaint,WR,11946,PHI,0.0,0.333
56039,306343,158.6,16455,Chuba Hubbard,RB,7594,CAR,5.47,0.294
372,100,209.2,58,Jake Bobo,WR,10867,SEA,0.27,0.156
353,35,207.6,39,Tyquan Thornton,WR,8188,NE,0.1,0.11
1,0,206.0,0,Patrick Taylor,RB,6963,SF,0.0,0.0
6,0,201.0,0,C.J. Uzomah,TE,2460,PHI,0.0,0.0
60,0,207.8,25,Hunter Renfrow,WR,5955,,0.0,0.417
1,0,208.0,0,Kawaan Baker,WR,7752,,0.0,0.0
56056,146191,130.4,10478,Gabe Davis,WR,6943,JAX,2.61,0.187
56056,201507,78.7,9172,Jordan Addison,WR,9756,MIN,3.59,0.164
6,0,210.2,0,Chris Moore,WR,3269,ARI,0.0,0.0
79,0,208.3,16,Tanner Hudson,TE,5409,CIN,0.0,0.203
1,0,157.0,0,Lujuan Winningham,WR,8650,,0.0,0.0
56056,224015,50.0,10115,Mark Andrews,TE,5012,BAL,4.0,0.18
2,0,134.0,0,La'Mical Perine,RB,6908,PIT,0.0,0.0
39496,0,193.5,4623,Javon Baker,WR,11645,NE,0.0,0.117
56056,162982,35.5,4668,Tank Dell,WR,9502,HOU,2.91,0.083
21,22,208.0,1,Trent Sherfield,WR,5154,MIN,1.05,0.048
19,0,208.9,1,Tahj Washington,WR,11821,MIA,0.0,0.053
55940,187954,178.1,14332,Isaiah Likely,TE,8131,BAL,3.36,0.256
643,1055,209.0,110,Erick All,TE,11592,CIN,1.64,0.171
8977,17404,206.2,1597,Josh Reynolds,WR,4171,DEN,1.94,0.178
1,0,213.0,0,Landen Akers,WR,7915,,0.0,0.0
56056,34832,117.5,5641,Trey Benson,RB,11589,ARI,0.62,0.101
15,3,202.7,4,Craig Reynolds,RB,6659,DET,0.2,0.267
57,114,206.2,8,Tyler Goodson,RB,8207,IND,2.0,0.14
56056,161288,20.8,4855,Jaylen Waddle,WR,7526,MIA,2.88,0.087
18,4,209.4,1,Durham Smythe,TE,5008,MIA,0.22,0.056
3,0,208.3,0,Kendall Milton,RB,11649,CIN,0.0,0.0
690,1607,208.2,53,Noah Gray,TE,7828,KC,2.33,0.077
4,0,208.5,1,Owen Wright,RB,11384,BAL,0.0,0.25
5,1,212.0,3,Dorian Thompson-Robinson,QB,10862,CLE,0.2,0.6
1,0,202.0,0,Lance McCutcheon,WR,8745,PIT,0.0,0.0
2,1,194.0,0,Pharaoh Brown,TE,4443,SEA,0.5,0.0
56056,211436,15.9,7314,Jonathan Taylor,RB,6813,IND,3.77,0.13
56056,76591,121.2,6428,Blake Corum,RB,11586,LAR,1.37,0.115
56,154,205.0,8,Kareem Hunt,RB,4098,KC,2.75,0.143
7,0,209.6,1,Justin Shorter,WR,9489,LV,0.0,0.143
56056,47448,93.2,6850,Curtis Samuel,WR,4082,BUF,0.85,0.122
56056,0,62.2,4552,Hollywood Brown,WR,5848,KC,0.0,0.081
56056,337319,10.3,8505,Garrett Wilson,WR,8146,NYJ,6.02,0.152
1,1,197.0,1,Drew Ogletree,TE,8489,IND,1.0,1.0
56056,227517,87.5,14967,Joe Burrow,QB,6770,CIN,4.06,0.267
10,0,198.0,3,Chase Edmonds,RB,5000,TB,0.0,0.3
56056,0,140.3,8491,T.J. Hockenson,TE,5844,MIN,0.0,0.151
1,0,215.0,1,Freddie Swain,WR,7135,,0.0,1.0
1,0,177.0,0,Josh Johnson,QB,260,BAL,0.0,0.0
16,0,207.4,1,Quez Watkins,WR,6927,PIT,0.0,0.062
11,0,206.4,2,Russell Gage,WR,5110,,0.0,0.182
1,0,209.0,0,Eric Dungey,QB,6443,,0.0,0.0
56056,74995,123.6,8086,Mike Williams,WR,4068,NYJ,1.34,0.144
20667,0,201.4,2552,Clyde Edwards-Helaire,RB,6820,KC,0.0,0.123
16818,14827,203.9,2845,Russell Wilson,QB,1234,PIT,0.88,0.169
19,38,206.3,1,Elijah Higgins,TE,10231,ARI,2.0,0.053
11,1,211.3,2,Will Mallory,TE,10220,IND,0.09,0.182
23396,134911,176.4,5985,Jordan Mason,RB,8408,SF,5.77,0.256
7,15,210.9,1,Lil'Jordan Humphrey,WR,5938,DEN,2.14,0.143
555,897,204.2,83,JuJu Smith-Schuster,WR,4040,KC,1.62,0.15
92,0,207.0,9,Keilan Robinson,RB,11773,JAX,0.0,0.098
56056,318965,65.5,13235,George Kittle,TE,4217,SF,5.69,0.236
2,0,214.5,0,Corey Davis,WR,4036,,0.0,0.0
54516,553,180.7,6719,Malachi Corley,WR,11617,NYJ,0.01,0.123
56056,189581,66.4,6557,C.J. Stroud,QB,9758,HOU,3.38,0.117
18796,75956,205.5,5091,Tucker Kraft,TE,9484,GB,4.04,0.271
56056,146369,144.4,8811,Xavier Legette,WR,11626,CAR,2.61,0.157
39528,7937,196.7,4764,Audric Estime,RB,11579,DEN,0.2,0.121
17437,36393,205.7,2689,Ja'Tavion Sanders,TE,11600,CAR,2.09,0.154
56056,161571,45.9,4157,Patrick Mahomes,QB,4046,KC,2.88,0.074
2,0,213.5,1,Raheem Blackshear,RB,8255,CAR,0.0,0.5
71,32,205.5,11,Jeremy Ruckert,TE,8145,NYJ,0.45,0.155
1,0,210.0,0,Ben Roethlisberger,QB,138,PIT,0.0,0.0
56055,161750,159.1,7770,Ray Davis,RB,11575,BUF,2.89,0.139
7,0,209.4,0,Davis Mills,QB,7585,HOU,0.0,0.0
56010,238281,166.2,15144,Rashod Bateman,WR,7571,BAL,4.25,0.27
1,0,208.0,0,Isaiah Washington,WR,11982,,0.0,0.0
113,0,207.7,18,Royce Freeman,RB,5046,,0.0,0.159
6,14,206.8,1,Jordan Akins,TE,5032,CLE,2.33,0.167
32677,0,197.5,4840,DJ Chark Jr.,WR,4951,LAC,0.0,0.148
56056,64190,149.2,5582,Jaylen Wright,RB,11643,MIA,1.15,0.1
6414,2727,203.4,920,Michael Mayer,TE,9482,LV,0.43,0.143
56056,165816,125.2,11807,Jared Goff,QB,3163,DET,2.96,0.211
56056,105469,40.3,5205,Isiah Pacheco,RB,8205,KC,1.88,0.093
2,2,212.5,0,JaMycal Hasty,RB,6996,NE,1.0,0.0
56055,113748,149.8,10868,Matthew Stafford,QB,421,LAR,2.03,0.194
56056,224325,39.1,6392,Travis Kelce,TE,1466,KC,4.0,0.114
56056,364629,7.0,8809,Bijan Robinson,RB,9509,ATL,6.5,0.157
1,0,104.0,0,Daniel Arias,WR,11184,,0.0,0.0
100,0,206.5,14,Tyler Scott,WR,9490,CHI,0.0,0.14
56056,34756,120.7,6873,Gus Edwards,RB,5248,LAC,0.62,0.123
22,0,209.0,2,Hendon Hooker,QB,9998,DET,0.0,0.091
9,0,207.6,3,Collin Johnson,WR,6857,CHI,0.0,0.333
55950,300092,166.7,20868,Baker Mayfield,QB,4892,TB,5.36,0.373
56056,378893,30.9,26688,Derrick Henry,RB,3198,BAL,6.76,0.476
1,0,210.0,0,Dee Eskridge,WR,7612,MIA,0.0,0.0
49900,113038,178.1,6913,Braelon Allen,RB,11576,NYJ,2.27,0.139
1,0,204.0,0,Stetson Bennett,QB,10857,LAR,0.0,0.0
40383,102141,195.7,6324,Roschon Johnson,RB,10235,CHI,2.53,0.157
94,0,209.4,5,Jaheim Bell,TE,11605,NE,0.0,0.053
13,0,206.2,1,Kyle Juszczyk,FB,1379,SF,0.0,0.077
56056,246111,37.8,10975,Zay Flowers,WR,9997,BAL,4.39,0.196
102,0,206.9,16,Robert Tonyan,TE,4602,MIN,0.0,0.157
54950,167563,178.1,11141,Demarcus Robinson,WR,3286,LAR,3.05,0.203
3289,37,207.3,412,Johnny Wilson,WR,11636,PHI,0.01,0.125
39763,93722,194.3,5611,Bo Nix,QB,11563,DEN,2.36,0.141
20139,0,200.6,3059,Keaton Mitchell,RB,9511,BAL,0.0,0.152
6611,3751,202.8,793,Carson Steele,RB,11582,KC,0.57,0.12
56056,220548,127.0,9893,Austin Ekeler,RB,4663,WAS,3.93,0.176
1,0,175.0,0,Jason Cabinda,FB,5565,,0.0,0.0
56056,212368,130.8,8758,Rico Dowdle,RB,7021,DAL,3.79,0.156
1,0,212.0,1,Dante Pettis,WR,4992,NO,0.0,1.0
56056,207374,103.3,12208,Romeo Doubs,WR,8121,GB,3.7,0.218
33639,77565,203.0,7070,Mike Gesicki,TE,4993,CIN,2.31,0.21
56056,216458,18.6,8501,Deebo Samuel,WR,5872,SF,3.86,0.152
27374,1955,204.3,3279,Will Shipley,RB,11577,PHI,0.07,0.12
1,1,201.0,0,Tyler Badie,RB,8208,DEN,1.0,0.0
31,0,208.3,3,Antoine Green,WR,11053,DET,0.0,0.097
2,0,214.5,0,Case Keenum,QB,1737,HOU,0.0,0.0
2,0,213.0,0,Sean Clifford,QB,10983,GB,0.0,0.0
1,0,210.0,0,Ronald Jones,RB,5052,,0.0,0.0
5,3,193.0,1,Marcus Mariota,QB,2307,WAS,0.6,0.2
4,0,210.8,1,Hakeem Butler,WR,5886,,0.0,0.25
85,125,207.3,11,D'Ernest Johnson,RB,6694,JAX,1.47,0.129
56056,155805,95.8,8042,Dak Prescott,QB,3294,DAL,2.78,0.143
53,0,205.1,3,Nikko Remigio,WR,11320,KC,0.0,0.057
30,0,212.0,3,Trey Lance,QB,7610,DAL,0.0,0.1
51,0,207.8,9,Jordan Matthews,TE,1800,CAR,0.0,0.176
